时间,风机名,风速,功率,发电机转速,转子转速,功率因数,电网频率,风向,对风角度,叶片角度,环境温度,机舱温度,齿箱油温,液压油温,发电量
2014/2/1 0:00,H1-01F,4.81,0,20.5,0.22,0,50.03,190.99,10.94,88.99,850,13.8,42.7,0,6598259
2014/2/1 0:10,H1-01F,5.31,0,19.1,0.21,0,50.03,188.48,8.49,89,850,13.8,42.3,0,6598259
2014/2/1 0:20,H1-01F,6.09,0,11.3,0.15,0,50.01,194.96,14.94,88.99,850,13.6,42.1,0,6598259
2014/2/1 0:30,H1-01F,6.65,0,20.5,0.22,0,49.98,171.97,-7.97,89,850,13.6,41.8,0,6598259
2014/2/1 0:40,H1-01F,5.63,0,29.4,0.32,0,50,188.13,8.13,89,850,13.5,41.5,0,6598259
2014/2/1 0:50,H1-01F,5.41,0,23.6,0.27,0,50,175.21,-4.63,89,850,13.5,41.3,0,6598259
2014/2/1 1:00,H1-01F,5.57,0,31,0.32,0,49.99,181,1.01,89,850,13.3,41.1,0,6598259
2014/2/1 1:10,H1-01F,6.14,0,19.3,0.21,0,50.01,181.52,1.56,88.99,850,13.1,40.8,0,6598259
2014/2/1 1:20,H1-01F,6.49,0,17.3,0.21,0,50.02,177.17,-2.87,89,850,13,40.4,0,6598259
2014/2/1 1:30,H1-01F,7.06,0,12.7,0.15,0,49.97,171.74,-8.29,89,850,13,39.8,0,6598259
2014/2/1 1:40,H1-01F,6.82,0,0,0.03,0,49.99,163.76,-16.34,89,850,12.9,39.5,0,6598259
2014/2/1 1:50,H1-01F,6.73,0,28.7,0.31,0,49.97,190.41,10.44,88.99,850,12.8,39.1,0,6598259
2014/2/1 2:00,H1-01F,7.1,0,18.1,0.21,0,50,193.76,13.71,89,850,12.7,39,0,6598259
2014/2/1 2:10,H1-01F,6.66,0,15.5,0.19,0,49.97,174.96,-5.19,89,850,12.6,38.6,0,6598259
2014/2/1 2:20,H1-01F,6.61,0,1.1,0.05,0,49.97,162.7,-17.32,88.98,850,12.6,38.4,0,6598259
2014/2/1 2:30,H1-01F,7,0,22.7,0.26,0,50.01,195.84,15.99,89,850,12.5,37.9,0,6598259
2014/2/1 2:40,H1-01F,7.12,0,14,0.17,0,49.99,176.63,-3.39,89,850,12.5,37.6,0,6598259
2014/2/1 2:50,H1-01F,7.65,0,15.1,0.21,0,49.99,169.66,-10.29,89,850,12.3,37.3,0,6598259
2014/2/1 3:00,H1-01F,7.61,0,17.6,0.21,0,49.99,192.27,12.31,89,850,12.1,37,0,6598259
2014/2/1 3:10,H1-01F,7.52,0,12.7,0.17,0,49.98,185.03,4.93,88.99,850,11.9,36.6,0,6598259
2014/2/1 3:20,H1-01F,8.1,0,18.8,0.22,0,49.98,175.44,-4.54,89,850,11.8,36.4,0,6598259
2014/2/1 3:30,H1-01F,7.06,0,11.6,0.15,0,50,190.26,10.33,89,850,11.1,36,0,6598259
2014/2/1 3:40,H1-01F,5.64,0,16.5,0.19,0,50.01,185.1,5.06,88.99,850,11.6,35.7,0,6598259
2014/2/1 3:50,H1-01F,6.58,0,26.1,0.29,0,49.98,189.36,9.13,89,850,11.6,35.4,0,6598259
2014/2/1 4:00,H1-01F,7.15,0,25.6,0.29,0,50.03,192.16,12.15,89,850,11.5,35.3,0,6598259
2014/2/1 4:10,H1-01F,6.45,0,10.6,0.15,0,50.02,176.03,-3.96,89,850,11.5,35.4,0,6598259
2014/2/1 4:20,H1-01F,6.49,0,13.7,0.15,0,50.01,184.01,4.22,89,850,11.5,35,0,6598259
2014/2/1 4:30,H1-01F,7.12,0,14.4,0.17,0,50.01,182.72,2.84,88.99,850,11.4,34.5,0,6598259
2014/2/1 4:40,H1-01F,5.68,0,12.4,0.15,0,50,179.71,-0.34,89,850,11.3,34.1,0,6598259
2014/2/1 4:50,H1-01F,6.24,0,4.3,0.07,0,50.01,175.31,-4.73,88.99,850,11.3,33.8,0,6598259
2014/2/1 5:00,H1-01F,6.51,0,8.4,0.09,0,50.02,171.71,-8.26,89,850,11.3,33.8,0,6598259
2014/2/1 5:10,H1-01F,5.47,0,9.2,0.1,0,50.01,164.9,-15.07,89,850,11.2,33.4,0,6598259
2014/2/1 5:20,H1-01F,5.38,0,24,0.27,0,50,179.51,-0.46,89,850,11.1,32.9,0,6598259
2014/2/1 5:30,H1-01F,4.99,0,17.2,0.19,0,49.96,184.48,4.48,88.99,850,11.1,32.6,0,6598259
2014/2/1 5:40,H1-01F,5.81,0,9.9,0.14,0,50.02,181.98,2.06,89,850,11,32.6,0,6598259
2014/2/1 5:50,H1-01F,6.37,0,15.5,0.17,0,50.02,167.69,-12.33,89,850,10.9,32.4,0,6598259
2014/2/1 6:00,H1-01F,6.85,0,24.1,0.27,0,49.99,171.87,-8.27,89,850,11.3,32.1,0,6598259
2014/2/1 6:10,H1-01F,6.39,0,15.2,0.19,0,50.02,175.1,-4.94,89,850,11,31.8,0,6598259
2014/2/1 6:20,H1-01F,7.04,0,12.9,0.15,0,50.01,175.41,-4.62,88.99,850,10.8,31.6,0,6598259
2014/2/1 6:30,H1-01F,6.54,0,21.9,0.24,0,50,186,6.02,89,850,10.6,31.4,0,6598259
2014/2/1 6:40,H1-01F,6.58,0,19.9,0.22,0,49.99,195.11,15.23,89,850,10.5,31.1,0,6598259
2014/2/1 6:50,H1-01F,6.01,0,9.1,0.1,0,49.98,178.99,-0.97,89,850,10.5,31.1,0,6598259
2014/2/1 7:00,H1-01F,6.22,0,15.3,0.17,0,49.98,187.81,7.89,88.99,850,10.3,30.6,0,6598259
2014/2/1 7:10,H1-01F,6.26,0,12.7,0.17,0,49.97,176.94,-2.99,89,850,10.3,30.3,0,6598259
2014/2/1 7:20,H1-01F,6,0,13.4,0.15,0,50,180.74,0.55,89,850,10.3,30.4,0,6598259
2014/2/1 7:30,H1-01F,5.98,0,9.8,0.14,0,49.97,175.22,-4.71,88.99,850,10.6,30,0,6598259
2014/2/1 7:40,H1-01F,6.3,0,2.6,0.07,0,50.01,169.12,-10.9,88.99,850,10.5,29.9,0,6598259
2014/2/1 7:50,H1-01F,5.24,0,18,0.21,0,49.99,191.99,11.87,88.99,850,10.4,29.6,0,6598259
2014/2/1 8:00,H1-01F,5.89,338,1313,13.07,0,49.96,182.91,2.96,0,850,11.2,36.1,0,6598304
2014/2/1 8:10,H1-01F,5.45,283,1248.3,12.42,0,50,181.1,1.14,0,850,11.9,39,0,6598358
2014/2/1 8:20,H1-01F,3.4,80,1052.8,10.48,0,49.99,178.69,-1.64,0,850,12.1,41,0,6598378
2014/2/1 8:30,H1-01F,4.66,203,1112.7,11.07,0,50.03,192.88,12.89,0,850,12.5,42.3,0,6598400
2014/2/1 8:40,H1-01F,5.3,205,1126.2,11.21,0,49.99,162.02,-17.93,0,850,12.7,43.8,0,6598426
2014/2/1 8:50,H1-01F,5.23,284,1255.3,12.49,0,49.99,169.49,-10.48,0,850,13.1,44.3,0,6598467
2014/2/1 9:00,H1-01F,6.62,0,9.4,0.1,0,49.98,198.45,18.42,89,850,12.9,47.1,0,6598509
2014/2/1 9:10,H1-01F,7.32,0,-3.3,0.05,0,50.02,164.55,-15.42,89,850,12.1,45.8,0,6598509
2014/2/1 9:20,H1-01F,6.88,0,9,0.1,0,49.99,189.63,9.75,89,850,12,45,0,6598509
2014/2/1 9:30,H1-01F,7.47,0,8.1,0.1,0,49.99,180.45,0.57,89,850,11.8,44.3,0,6598509
2014/2/1 9:40,H1-01F,7.87,0,8.2,0.1,0,50.01,176.65,-3.45,88.99,850,12.1,43.7,0,6598509
2014/2/1 9:50,H1-01F,7.67,0,5.6,0.07,0,50.03,175.46,-4.53,89,850,11.7,43.2,0,6598509
2014/2/1 10:00,H1-01F,8.49,0,11.4,0.15,0,50.02,172.41,-7.65,89,850,11.5,42.8,0,6598509
2014/2/1 10:10,H1-01F,8.76,0,-2.6,0.03,0,49.99,174.3,-5.65,88.99,850,11.4,42.5,0,6598509
2014/2/1 10:20,H1-01F,9.12,0,0,0.03,0,50,177.6,-2.26,89,850,11.3,42.2,0,6598509
2014/2/1 10:30,H1-01F,9.26,0,10.5,0.14,0,50.01,184.69,4.74,88.99,850,11.1,41.7,0,6598509
2014/2/1 10:40,H1-01F,9.76,0,3,0.07,0,50.02,179.74,-0.15,88.99,850,11.4,41.1,0,6598509
2014/2/1 10:50,H1-01F,9.29,0,1.8,0.05,0,49.99,180.95,0.91,89,850,11.4,40.3,0,6598509
2014/2/1 11:00,H1-01F,9.18,0,-2,0.03,0,49.99,184.05,4.08,89,850,11.1,39.8,0,6598509
2014/2/1 11:10,H1-01F,8.33,0,26.9,0.27,0,50.02,182.15,2.07,89,850,10.9,39.5,0,6598509
2014/2/1 11:20,H1-01F,8.73,0,9.4,0.14,0,49.97,183.85,3.87,89,850,10.8,38.7,0,6598509
2014/2/1 11:30,H1-01F,7.92,0,12.4,0.15,0,49.99,183.72,3.69,89,850,10.7,38,0,6598509
2014/2/1 11:40,H1-01F,7.88,0,9.7,0.1,0,50.01,183.06,3.14,89,850,10.6,37.6,0,6598509
2014/2/1 11:50,H1-01F,7.8,0,4,0.09,0,49.99,182.22,2.34,89,850,11,37.4,0,6598509
2014/2/1 12:00,H1-01F,7.63,0,7.3,0.1,0,49.99,181.61,1.77,88.99,850,10.8,36.6,0,6598509
2014/2/1 12:10,H1-01F,7.93,0,12.6,0.15,0,50.03,174.77,-5.15,89,850,10.5,36.3,0,6598509
2014/2/1 12:20,H1-01F,8.22,0,4.8,0.07,0,50,171.84,-8.07,89,850,10.4,35.6,0,6598509
2014/2/1 12:30,H1-01F,8.25,0,13.4,0.17,0,49.98,175.67,-4.38,88.99,850,10.3,35.3,0,6598509
2014/2/1 12:40,H1-01F,7.7,0,4,0.07,0,50.02,176.49,-3.54,89,850,10.2,35.1,0,6598509
2014/2/1 12:50,H1-01F,8.44,0,10.2,0.14,0,50.02,173.76,-6.2,89,850,10.8,34.6,0,6598509
2014/2/1 13:00,H1-01F,7.78,0,8.7,0.1,0,50,178.61,-1.42,89,850,10.4,34.5,0,6598509
2014/2/1 13:10,H1-01F,7.4,0,20.6,0.24,0,49.99,184.03,3.88,88.99,850,10.1,34.2,0,6598509
2014/2/1 13:20,H1-01F,6.91,0,5.7,0.09,0,49.98,179.7,-0.22,89,850,10.1,34,0,6598509
2014/2/1 13:30,H1-01F,7.44,0,5,0.1,0,49.99,195.05,14.98,89,850,10,33.6,0,6598509
2014/2/1 13:40,H1-01F,7.01,0,12.5,0.17,0,49.98,164.98,-15.04,89,850,10,33.3,0,6598509
2014/2/1 13:50,H1-01F,7.07,0,-3.2,0.07,0,50,166.11,-13.82,88.99,850,9.9,33,0,6598509
