area,perimeter,compactness
15.26,14.84,0.871
14.88,14.57,0.8811
14.29,14.09,0.905
13.84,13.94,0.8955
16.14,14.99,0.9034
14.38,14.21,0.8951
14.69,14.49,0.8799
14.11,14.1,0.8911
16.63,15.46,0.8747
16.44,15.25,0.888
15.26,14.85,0.8696
14.03,14.16,0.8796
13.89,14.02,0.888
13.78,14.06,0.8759
13.74,14.05,0.8744
14.59,14.28,0.8993
13.99,13.83,0.9183
15.69,14.75,0.9058
14.7,14.21,0.9153
12.72,13.57,0.8686
14.16,14.4,0.8584
14.11,14.26,0.8722
15.88,14.9,0.8988
12.08,13.23,0.8664
15.01,14.76,0.8657
16.19,15.16,0.8849
13.02,13.76,0.8641
12.74,13.67,0.8564
14.11,14.18,0.882
13.45,14.02,0.8604
13.16,13.82,0.8662
15.49,14.94,0.8724
14.09,14.41,0.8529
13.94,14.17,0.8728
15.05,14.68,0.8779
16.12,15,0.9
16.2,15.27,0.8734
17.08,15.38,0.9079
14.8,14.52,0.8823
14.28,14.17,0.8944
13.54,13.85,0.8871
13.5,13.85,0.8852
13.16,13.55,0.9009
15.5,14.86,0.882
15.11,14.54,0.8986
13.8,14.04,0.8794
15.36,14.76,0.8861
14.99,14.56,0.8883
14.79,14.52,0.8819
14.86,14.67,0.8676
14.43,14.4,0.8751
15.78,14.91,0.8923
14.49,14.61,0.8538
14.33,14.28,0.8831
14.52,14.6,0.8557
15.03,14.77,0.8658
14.46,14.35,0.8818
14.92,14.43,0.9006
15.38,14.77,0.8857
12.11,13.47,0.8392
11.42,12.86,0.8683
11.23,12.63,0.884
12.36,13.19,0.8923
13.22,13.84,0.868
12.78,13.57,0.8716
12.88,13.5,0.8879
14.34,14.37,0.8726
14.01,14.29,0.8625
14.37,14.39,0.8726
12.73,13.75,0.8458
17.63,15.98,0.8673
16.84,15.67,0.8623
17.26,15.73,0.8763
19.11,16.26,0.9081
16.82,15.51,0.8786
16.77,15.62,0.8638
17.32,15.91,0.8599
20.71,17.23,0.8763
18.94,16.49,0.875
17.12,15.55,0.8892
16.53,15.34,0.8823
18.72,16.19,0.8977
20.2,16.89,0.8894
19.57,16.74,0.8779
19.51,16.71,0.878
18.27,16.09,0.887
18.88,16.26,0.8969
18.98,16.66,0.859
21.18,17.21,0.8989
20.88,17.05,0.9031
20.1,16.99,0.8746
18.76,16.2,0.8984
18.81,16.29,0.8906
18.59,16.05,0.9066
18.36,16.52,0.8452
16.87,15.65,0.8648
19.31,16.59,0.8815
18.98,16.57,0.8687
18.17,16.26,0.8637
18.72,16.34,0.881
16.41,15.25,0.8866
17.99,15.86,0.8992
19.46,16.5,0.8985
19.18,16.63,0.8717
18.95,16.42,0.8829
18.83,16.29,0.8917
18.85,16.17,0.9056
17.63,15.86,0.88
19.94,16.92,0.8752
18.55,16.22,0.8865
18.45,16.12,0.8921
19.38,16.72,0.8716
19.13,16.31,0.9035
19.14,16.61,0.8722
20.97,17.25,0.8859
19.06,16.45,0.8854
18.96,16.2,0.9077
19.15,16.45,0.889
18.89,16.23,0.9008
20.03,16.9,0.8811
20.24,16.91,0.8897
18.14,16.12,0.8772
16.17,15.38,0.8588
18.43,15.97,0.9077
15.99,14.89,0.9064
18.75,16.18,0.8999
18.65,16.41,0.8698
17.98,15.85,0.8993
20.16,17.03,0.8735
17.55,15.66,0.8991
18.3,15.89,0.9108
18.94,16.32,0.8942
15.38,14.9,0.8706
16.16,15.33,0.8644
15.56,14.89,0.8823
15.38,14.66,0.899
17.36,15.76,0.8785
15.57,15.15,0.8527
15.6,15.11,0.858
16.23,15.18,0.885
13.07,13.92,0.848
13.32,13.94,0.8613
13.34,13.95,0.862
12.22,13.32,0.8652
11.82,13.4,0.8274
11.21,13.13,0.8167
11.43,13.13,0.8335
12.49,13.46,0.8658
12.7,13.71,0.8491
10.79,12.93,0.8107
11.83,13.23,0.8496
12.01,13.52,0.8249
12.26,13.6,0.8333
11.18,13.04,0.8266
11.36,13.05,0.8382
11.19,13.05,0.8253
11.34,12.87,0.8596
12.13,13.73,0.8081
11.75,13.52,0.8082
11.49,13.22,0.8263
12.54,13.67,0.8425
12.02,13.33,0.8503
12.05,13.41,0.8416
12.55,13.57,0.8558
11.14,12.79,0.8558
12.1,13.15,0.8793
12.44,13.59,0.8462
12.15,13.45,0.8443
11.35,13.12,0.8291
11.24,13,0.8359
11.02,13,0.8189
11.55,13.1,0.8455
11.27,12.97,0.8419
11.4,13.08,0.8375
10.83,12.96,0.8099
10.8,12.57,0.859
11.26,13.01,0.8355
10.74,12.73,0.8329
11.48,13.05,0.8473
12.21,13.47,0.8453
11.41,12.95,0.856
12.46,13.41,0.8706
12.19,13.36,0.8579
11.65,13.07,0.8575
12.89,13.77,0.8541
11.56,13.31,0.8198
11.81,13.45,0.8198
